Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Incomplete,Total Grades for Course
2015 Fall,Business,UGBA,Business Admin-Undergrad,120B,1,Adv Fin Accounting,Francis Stanton,8202,2,6,6,,3,2,,,,,,,,,23
2015 Fall,Business,UGBA,Business Admin-Undergrad,121,1,Fed Inc Tax Acctg,Alan Cerf,8208,2,14,9,9,7,2,,,,,,,,,51
2015 Fall,Business,UGBA,Business Admin-Undergrad,122,1,Fin Info Analysis,Patricia Dechow,8214,7,17,10,5,4,2,,2,,,,,,,50
2015 Fall,Business,UGBA,Business Admin-Undergrad,126,1,Auditing,Tiffany Rasmussen,8220,,8,7,,3,1,,,,,,,,,23
2015 Fall,Business,UGBA,Business Admin-Undergrad,127,1,Spec Topics In Acct,John Mccauley,8226,,6,8,6,2,1,,,,,,,,,29
2015 Fall,Business,UGBA,Business Admin-Undergrad,131,1,Corp Fin Analysis,Stephen Etter,8232,1,33,8,,8,,,,,,,,,,55
2015 Fall,Business,UGBA,Business Admin-Undergrad,152,1,Negotiation,Holly Schroth,8247,1,15,7,8,6,1,1,1,,,,,,,40
2015 Fall,Business,UGBA,Business Admin-Undergrad,152,2,Negotiation,Holly Schroth,8250,3,13,5,13,6,1,,,,,,,,,41
2015 Fall,Business,UGBA,Business Admin-Undergrad,155,1,Leadership,Daniel Mulhern,8253,,21,14,17,1,1,,1,,,,,,1,60
2015 Fall,Business,UGBA,Business Admin-Undergrad,162,1,Brand Mgt&Strategy,Judy Hopelain,8261,,9,15,3,5,,,,,,,,,,32
2015 Fall,Business,UGBA,Business Admin-Undergrad,167,1,Spec Topics In Mkt,Krystal Thomas,8262,1,2,17,6,2,1,,,,,,,,,31
2015 Fall,Business,UGBA,Business Admin-Undergrad,167,2,Spec Topics In Mkt,David Robinson,8264,,5,3,13,10,2,,4,3,,,,,,52
2015 Fall,Business,UGBA,Business Admin-Undergrad,175,1,Legal Aspects,Alan Ross,8271,,13,5,7,7,,2,,1,,,,,1,45
2015 Fall,Business,UGBA,Business Admin-Undergrad,177,1,Spec Top/Bus Pub Po,Diane Dwyer,8274,,3,16,4,2,1,,1,1,,,,,,29
2015 Fall,Business,UGBA,Business Admin-Undergrad,178,1,Intro Internatl Bus,Daniel Himelstein,8277,,2,16,8,3,,,,,,,,,,31
2015 Fall,Business,UGBA,Business Admin-Undergrad,179,1,Intl Consulting Sme,Daniel Himelstein,8280,,1,22,11,,,,,,,,,,,34
